"state","year","cigsale","lnincome","beer","age15to24","retprice"
"Rhode Island",1970,123.900001525879,NA,NA,0.18315789103508,39.2999992370605
"Tennessee",1970,99.8000030517578,NA,NA,0.178043812513351,39.9000015258789
"Indiana",1970,134.600006103516,NA,NA,0.176515877246857,30.6000003814697
"Nevada",1970,189.5,NA,NA,0.16155418753624,38.9000015258789
"Louisiana",1970,115.900001525879,NA,NA,0.185185179114342,34.2999992370605
"Oklahoma",1970,108.400001525879,NA,NA,0.175459161400795,38.4000015258789
"New Hampshire",1970,265.700012207031,NA,NA,0.170731708407402,31.3999996185303
"North Dakota",1970,93.8000030517578,NA,NA,0.184466019272804,37.2999992370605
"Arkansas",1970,100.300003051758,NA,NA,0.169006764888763,36.7000007629395
"Virginia",1970,124.300003051758,NA,NA,0.189421623945236,28.7999992370605
"Illinois",1970,124.800003051758,NA,NA,0.166966691613197,41.4000015258789
"South Dakota",1970,92.6999969482422,NA,NA,0.178678676486015,38.5
"Utah",1970,65.5,NA,NA,0.202077433466911,34.5999984741211
"Georgia",1970,109.900001525879,NA,NA,0.187445506453514,34.2999992370605
"Mississippi",1970,93.4000015258789,NA,NA,0.183130353689194,36.2000007629395
"Colorado",1970,124.800003051758,NA,NA,0.190950229763985,29.3999996185303
"Minnesota",1970,104.300003051758,NA,NA,0.174724116921425,39.0999984741211
"California",1970,123,NA,NA,0.178158327937126,38.7999992370605
"Texas",1970,106.400001525879,NA,NA,0.183141350746155,40.4000015258789
"Kentucky",1970,155.800003051758,NA,NA,0.181310147047043,28.2999992370605
"Maine",1970,128.5,NA,NA,0.16901408135891,38
"North Carolina",1970,172.399993896484,NA,NA,0.193548381328583,27.2999992370605
"Montana",1970,111.199996948242,NA,NA,0.175792500376701,34
"Vermont",1970,122.599998474121,NA,NA,0.179775282740593,37.7000007629395
"Iowa",1970,108.5,NA,NA,0.168849557638168,37.7000007629395
"Connecticut",1970,120,NA,NA,0.162928760051727,42.2000007629395
"Kansas",1970,114,NA,NA,0.180524677038193,34.2000007629395
"Delaware",1970,155,NA,NA,0.173357665538788,39
"Wisconsin",1970,106.400001525879,NA,NA,0.174287006258965,38.5
"Idaho",1970,102.400001525879,NA,NA,0.178120613098145,33.7999992370605
"New Mexico",1970,90,NA,NA,0.184857428073883,39.7000007629395
"West Virginia",1970,114.5,NA,NA,0.172591745853424,33.7000007629395
"Pennsylvania",1970,107.300003051758,NA,NA,0.163375988602638,38.4000015258789
