V1,V2,V3,V4,V5
0.421976217672389,0.438491125525836,0.527935415707456,0.453525419571229,0.456464386758047
0.535753249344164,0.47304581029946,0.386746938269673,0.415657357405324,0.427716901495002
0.511204089871973,0.467990691352868,0.470038572529703,0.455534135797256,0.422207943262296
0.539345656840154,0.474892523911462,0.351669142168518,0.485067795078184,0.426360429613603
0.396608814700658,0.439101254267085,0.398699777584638,0.413555438535443,0.418748036607537
0.365665334462879,0.491889352224726,0.457668655891826,0.393093153149403,0.512690746053496
0.471323211073841,0.435246425850386,0.494756283052251,0.493906674376652,0.491079054081874
0.484432012705005,0.477695882676879,0.446904414471164,0.434701866813004,0.430976449949381
0.415264651053974,0.43960413609902,0.386730182421587,0.558447798266926,0.51039809991525
0.393844570839833,0.429855758235046,0.426667232318839,0.488998255916816,0.445831546676409
0.462665925699738,0.448572662232565,0.447856477135434,0.518430114200723,0.438711450717037
0.525823530221477,0.372562359788489,0.479230687481803,0.456192712192231,0.460797078437199
0.468981974137994,0.424883827344535,0.433339630816529,0.399071230844646,0.396410438676221
0.465176432070213,0.472410488931471,0.452650211336525,0.496113373393987,0.552504234281357
0.425448441697173,0.334541556217959,0.500286926223113,0.41453996187088,0.415599569176632
0.501278568484835,0.43576134964745,0.388964114387273,0.459065173987457,0.443055431878048
0.450288209294994,0.469264020056317,0.43146699841038,0.482218827425942,0.438975671909063
0.466589098195785,0.504841950657467,0.47175907454169,0.433703420723439,0.507440380922555
0.499675192798106,0.477419847975403,0.461936586755572,0.418604696198031,0.5180326224265
0.419987020642644,0.559366649650829,0.52663053130926,0.438214982044976,0.398678954984661
0.414479671815035,0.462844185457826,0.437665406076881,0.432622870030113,0.402419071636749
0.447748613759554,0.410754776527146,0.366602903170593,0.430988673985612,0.495949830453038
0.42123265186958,0.480398216111252,0.369105864585542,0.447221901723773,0.475970360197173
0.465057668108336,0.455283809707447,0.417964699584731,0.407514782698321,0.398793560469754
0.455882329855006,0.40262626929076,0.425472127814967,0.437195390390088,0.54219310026161
